,Company Name,Last Price,% Chg,52 wkHigh,52 wkLow,Market Cap(Rs. cr)
76,Precision Cont ,0.31,3.33,0.33,0.19,0.69
0,Kalpataru Power ,424.9,1.05,460.6,212.15,6327.15
0,Adani Ports ,711.45,-1.01,901.0,298.1,145260.43
1,Duke Offshore ,16.87,1.57,16.87,6.25,16.63
2,Starlog Enter ,10.4,7.44,22.95,7.21,12.45
0,Easy Trip ,387.2,-1.61,454.35,147.5,4206.73
1,Thomas Cook ,63.0,-1.33,71.5,25.2,2383.14
2,BLS Internation ,130.85,2.11,145.75,35.0,1340.56
3,Intl Travel ,88.6,0.0,108.5,42.1,70.83
4,Cox & Kings ,2.57,-4.81,2.7,1.05,45.38
5,Transcorp Intl ,12.75,2.82,14.1,7.4,40.52
6,Asya Infosoft ,6.46,-1.97,7.51,3.7,7.79
7,Crown Tours ,19.7,3.68,23.7,15.55,6.11
8,VMV Holidays ,8.52,-4.8,48.05,7.9,4.75
0,Sun TV Network ,532.9,-1.08,570.9,372.35,21000.77
1,Zee Entertain ,215.3,-0.51,261.0,134.75,20679.9
2,TV18 Broadcast ,45.1,0.22,48.95,26.05,7731.76
3,Network 18 ,52.35,-0.95,58.4,31.1,5480.78
4,TV TodayNetwork ,299.7,-0.91,380.0,182.5,1788.27
5,Nxtdigital ,490.95,0.82,721.0,378.0,1180.79
6,Music Broadcast ,27.85,3.53,29.65,15.1,962.73
7,Ent Network Ind ,179.6,0.28,211.3,120.4,856.16
8,Zee Media ,10.05,-1.18,11.99,4.26,473.14
9,NDTV ,70.65,0.0,85.85,27.2,455.49
10,Raj Television ,39.95,-0.62,47.95,29.15,207.39
11,Siti Networks ,1.61,-4.73,2.5,0.5,140.4
12,Colorchips New,50.0,-0.3,50.15,4.4,85.05
13,Jain Studios ,2.6,-4.06,4.43,1.25,7.43
14,Padmalaya Tele ,2.53,-4.89,3.3,1.4,4.3
0,Ruchi Soya ,1121.7,-3.29,1535.0,405.0,33184.49
1,Agro Tech Foods ,944.3,-1.68,1080.0,506.0,2301.19
2,Manorama Indust ,1274.0,4.0,1274.0,420.0,1417.7
3,AVT Natural ,67.35,2.2,72.75,35.5,1025.63
4,Evexia Lifecare ,108.45,-0.5,170.0,90.95,671.67
5,Vijay Solvex ,1795.0,-1.13,2571.8,280.25,574.63
6,Gokul Agro ,41.35,-0.12,49.75,12.36,545.39
7,BCL Industries ,224.75,-0.99,237.0,36.8,542.77
8,Gokul Refoils ,29.9,-3.08,38.7,11.6,296.0
9,Kriti Nutrients ,42.7,-0.47,53.3,24.05,213.94
10,Ajanta Soya ,112.45,-0.62,134.9,25.65,181.01
11,Ruchinfra ,8.7,-0.91,20.65,5.42,178.56
12,Modi Naturals ,121.0,-2.02,144.7,20.55,153.14
13,Sanwaria Consum ,0.85,-4.49,4.15,0.57,62.57
14,Vegetable Prod ,3.63,-1.89,4.64,1.9,39.64
15,Raj Oil Mills ,92.0,-0.59,201.1,3.62,34.47
16,Poona Dal ,44.45,-1.11,58.7,28.95,25.37
17,Prima Ind ,22.9,4.09,23.25,6.38,24.71
18,Diligent Ind ,10.0,-3.01,11.99,3.82,22.87
19,Natraj Proteins ,50.6,1.91,68.65,14.0,18.96
20,Madhusudan Ind ,21.93,0.0,22.4,8.65,11.79
21,Ashiana Agro ,11.9,1.97,11.9,0.26,5.47
22,J R Foods Ltd ,3.9,-2.5,4.67,2.35,3.71
0,KDDL ,347.5,0.39,436.0,116.55,442.63
1,Timex Group Ind ,40.9,2.38,43.0,17.45,412.89
0,CenturyPlyboard ,414.25,1.3,447.3,113.0,9203.52
1,Greenply Ind ,211.25,0.76,225.0,73.55,2590.5
2,Oriental RI ,52.25,0.48,61.35,30.6,281.64
3,Archidply Ind ,34.15,-3.26,46.9,19.65,67.84
4,Duroply Industr ,67.05,5.51,76.8,27.55,43.32
5,Milestone Furni ,21.1,4.71,21.1,5.29,19.62
6,Ecoboard Inds ,5.46,5.0,7.08,2.55,9.74
7,Bloom Dekor ,11.0,-3.34,19.45,7.0,7.54
