,Company Name,Last Price,% Chg,52 wkHigh,52 wkLow,Market Cap(Rs. cr)
21,Mangalam Cement ,280.0,2.43,304.9,141.15,747.43
22,Udaipur Cement ,23.15,6.19,28.9,8.5,720.91
23,Deccan Cements ,427.5,2.49,469.0,190.2,598.82
24,Anjani Cement ,214.35,1.71,249.4,103.0,542.0
25,Everest Ind ,326.5,2.69,349.05,162.85,510.53
26,Saurashtra Cem ,68.0,8.45,68.8,27.0,474.76
27,Shiva Cement ,20.65,-0.24,26.2,8.0,402.68
28,Sahyadri Ind ,377.0,4.68,384.35,76.2,360.47
29,Guj Sidhee Cem ,36.15,3.29,45.45,16.7,318.85
30,Kakatiya Cement ,226.4,19.98,226.4,110.0,176.0
31,Andhra Cement ,5.3,-0.93,10.93,1.5,155.57
32,A Infra. ,25.0,3.73,33.4,10.09,106.61
33,Keerthi Ind ,103.25,4.98,123.5,25.0,82.77
34,Katwa Udyog ,38.25,2.41,42.5,21.05,45.88
35,Barak Vally Cem ,18.7,3.89,19.6,9.3,41.44
36,Skyline Millars ,7.75,-2.27,9.03,2.28,31.17
37,Burnpur Cement ,2.63,4.78,3.19,0.73,22.65
0,Kajaria Ceramic ,922.9,0.79,1020.0,295.4,14681.59
1,Cera Sanitary ,3943.95,2.26,4168.4,2100.0,5129.45
2,Somany Ceramics ,419.0,-0.83,460.0,86.6,1775.7
3,HSIL ,155.2,1.31,200.0,44.25,1004.1
4,Pokarna ,255.0,4.34,274.0,88.9,790.6
5,Asian Granito ,154.8,-1.31,318.0,109.15,530.77
6,Orient Bell ,218.1,0.97,255.0,51.4,313.05
7,Assoc Stone ,26.85,-2.89,29.25,7.35,241.85
8,Nitco ,19.05,-1.04,29.65,14.3,136.89
9,Murudeshwar Cer ,20.4,4.08,25.85,11.28,106.76
10,Aro Granite ,43.5,-1.47,65.45,17.5,66.56
11,Pacific Ind ,188.95,4.97,224.0,69.0,65.12
12,Divyashakti ,50.0,4.93,60.0,27.0,51.34
13,Madhav Marbles ,49.8,-0.5,66.2,17.7,44.56
14,Elegant Marble ,115.0,-4.56,120.5,52.0,42.09
15,Inani Marbles ,16.15,0.0,23.35,5.75,30.04
16,Oriental Trimex ,7.24,-1.5,18.1,5.0,20.65
17,Restile Ceramic ,1.84,-5.64,3.43,1.61,18.08
18,Ceeta Industrie ,7.05,-1.67,9.69,2.83,10.22
19,Himalaya Granit ,19.5,2.09,30.0,19.1,9.04
20,Glittke Granite ,1.26,5.0,2.07,0.73,3.27
0,Vikas Multi ,2.96,-2.31,21.45,1.74,196.39
1,Resonance ,130.0,-1.48,167.8,31.25,150.07
2,Deep Polymers L ,66.0,-0.15,89.0,50.5,78.35
3,Polylink Polyme ,14.45,-2.3,16.65,7.8,31.95
4,Sanathnagar Ent ,18.0,1.64,18.0,6.45,5.67
5,Rajnish Wellnes ,11.99,9.0,19.55,10.0,5.6
0,ITC ,200.95,-0.86,239.15,157.1,247346.22
1,VST ,3248.0,0.44,4048.3,2784.6,5015.54
2,Godfrey Phillip ,860.7,-0.17,1090.0,831.85,4475.12
3,The Indian Wood ,31.0,-0.48,46.5,21.25,198.32
4,Golden Tobacco ,42.7,4.4,60.0,19.35,75.19
5,NTC Industries ,60.15,-0.08,92.65,16.0,71.84
6,Raghunath Inves ,4.43,-4.94,5.99,1.49,2.22
0,Coal India ,132.2,-0.71,162.95,109.5,81471.27
1,Guj Mineral ,61.05,3.91,67.45,34.4,1941.39
2,Auroma Coke Ltd ,4.0,0.0,7.8,4.0,2.53
0,Deepak Nitrite ,1902.55,1.99,1902.55,458.0,25949.46
1,Solar Ind ,1212.65,-1.02,1420.0,853.25,10973.28
2,NOCIL ,194.5,5.51,199.35,79.4,3232.96
3,Guj Alkali ,424.5,3.03,469.15,304.35,3117.4
4,ORIENTAL AROMAT ,903.25,2.17,1009.0,133.7,3039.76
5,Elantas Beck ,3674.0,5.46,4025.7,1897.0,2912.63
6,Bhansali Eng ,163.2,2.8,179.0,33.7,2707.58
7,INEOS Styro ,1194.0,7.63,1194.0,483.55,2099.72
8,Himadri Special ,45.0,0.78,64.0,37.55,1885.34
9,India Glycols ,502.85,6.47,610.0,222.0,1556.9
10,National Perox ,2462.85,-0.78,2900.0,1661.5,1415.4
11,Bodal Chemicals ,99.9,3.58,109.55,42.0,1222.08
12,Grauer and Weil ,44.95,1.35,48.9,30.25,1019.04
13,GOCL Corp ,205.0,1.16,279.95,130.0,1016.24
14,DCW ,38.7,-0.13,40.4,9.28,1010.19
15,Thirumalai Chem ,97.9,1.29,118.7,38.75,1002.38
16,Oriental Carbon ,915.8,-1.05,1048.0,576.95,914.89
17,Transpek ,1340.0,0.59,2191.9,1298.5,748.47
18,Tamilnadu Petro ,78.9,9.2,78.9,28.3,709.87
19,Amines Plast ,104.2,0.48,112.7,21.6,573.31
20,Andhra Petro ,65.45,2.03,71.8,19.0,556.14
21,Mangalam Organ ,612.0,2.88,655.0,263.2,524.14
22,Sree Rayalaseem ,297.85,6.72,317.7,91.5,511.25
23,Sadhana Nitro ,35.6,4.86,35.6,15.03,497.43
