,Company Name,Last Price,% Chg,52 wkHigh,52 wkLow,Market Cap(Rs. cr)
3,ANG Lifescience ,138.0,10.4,138.0,35.0,71.53
0,Firstsource Sol ,123.25,9.36,125.5,28.8,8579.42
1,Vakrangee ,51.05,0.29,69.85,23.95,5408.27
2,eClerx Services ,1265.25,1.65,1270.0,380.05,4414.4
3,Hinduja Global ,1705.0,-0.73,1891.0,516.05,3559.57
4,ALLSEC Tech ,348.2,2.61,411.35,139.4,530.6
5,Intrasoft Tech ,86.05,-0.52,100.45,38.95,126.77
6,HOV Services ,46.95,4.92,66.3,28.05,59.11
7,Jupiter Infomed ,27.85,0.0,40.0,21.65,27.91
8,Excel Realty ,2.15,4.88,3.84,0.82,20.22
9,Triton Corp ,0.2,-4.76,0.22,0.19,4.0
10,Frontline Sol ,1.48,-4.52,2.65,0.57,3.16
0,United Spirits ,526.0,1.25,661.5,478.85,38221.2
1,United Brewerie ,1208.45,-0.37,1328.45,860.05,31952.04
2,Radico Khaitan ,561.2,-1.11,628.3,280.1,7495.85
3,Globus Spirits ,328.45,1.7,422.5,87.5,945.91
4,Assoc Alcohol ,419.05,1.86,465.0,122.0,757.61
5,GM Breweries ,402.7,1.96,481.1,366.6,736.04
6,Tilaknagar Ind ,41.5,13.39,41.5,15.1,520.55
7,Khoday India ,64.0,0.47,77.95,57.6,215.43
8,Som Distillerie ,31.3,1.46,43.48,22.5,203.41
9,Jagatjit Ind ,37.65,2.45,42.9,24.15,173.75
10,Piccadilly Agro ,15.85,19.98,16.0,6.45,149.53
11,Pioneer Distill ,103.95,1.41,130.0,92.0,139.17
12,Ravi Kumar Dist ,9.01,4.52,12.04,5.63,21.62
13,Piccadilly Sug ,7.46,19.94,7.46,3.26,17.35
14,Winsome Brew ,4.17,3.99,5.89,3.6,11.54
15,Silver Oak ,17.55,1.15,22.0,8.62,6.65
16,Mount Shivalik ,2.8,-3.45,5.5,2.21,1.69
0,Hathway Cable ,23.75,1.28,57.45,17.4,4204.0
1,Den Networks ,44.1,-0.56,115.05,41.6,2104.56
2,Dish TV ,10.0,7.87,16.3,4.24,1841.29
